month,affiliate,country,impressions,unique_impressions,ctr,unique_visitors,visitors,leads,registrations,conversion_rate,ftd,qftd,deposits,withdrawals,net_deposits,first_deposits,spread,lot,volume,pl,roi,commission,cpa_commission,cpl_commission,revshare_commission,sub_commission,other_commission,ecpa,ecpl,chargeback_count,chargeback_amount,uid
10/2025,Basilatwani,Namibia,0,0,0.00%,0,0,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,0.0036,0.0600,600.0000,1.7100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,4134
10/2025,basil-tyrone,Slovakia,0,0,0.00%,2,2,1,1,100.00%,1,1,450.00,0.00,450.00,450.00,0.0021,1.0000,"10,000.0000",84.5000,1.48,305.00,300.00,0.00,5.00,0.00,0.00,305.00,305.00,0,0.00,4480
10/2025,ElevatingForex,Singapore,0,0,0.00%,0,1,1,1,100.00%,1,1,"1,000.00",0.00,"1,000.00",700.00,"6,440.6672",13.0400,"130,400.0000",466.0500,1.00,"1,000.00","1,000.00",0.00,0.00,0.00,0.00,"1,000.00","1,000.00",0,0.00,7040
10/2025,Basilatwani,Switzerland,0,0,0.00%,4,16,0,0,0.00%,0,0,510.00,0.00,510.00,0.00,"4,652.6236",9.3700,"93,700.0000",346.4000,2.04,250.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,7041
10/2025,Billionairetrading,Singapore,0,0,0.00%,3,8,1,1,200.00%,2,2,400.00,-160,240.00,400.00,"1,386.6132",2.5700,"25,700.0000",341.9300,0.60,400.00,400.00,0.00,0.00,0.00,0.00,200.00,400.00,0,0.00,7043
10/2025,dutrades,United Arab Emirates,0,0,0.00%,2,2,30,30,23.33%,7,7,"4,237.00",-911,"3,326.00","4,236.66","1,153.3562",21.8900,"218,900.0000","2,296.6626",0.71,"4,700.00","4,700.00",0.00,0.00,0.00,0.00,671.43,156.67,0,0.00,7052
10/2025,theforexcomplex,Czech Republic,0,0,0.00%,0,0,0,0,0.00%,0,0,0.00,-828,-828,0.00,178.8800,0.3000,"3,000.0000",-9.5000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,7537
10/2025,Mertyoz,Antigua and Barbuda,0,0,0.00%,1,1,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,1.0572,5.0000,"50,000.0000",-0.7999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,1077
10/2025,fabi69,Finland,0,0,0.00%,0,0,0,0,0.00%,0,0,0.00,-255,-255,0.00,153.6600,1.0600,"10,600.0000",-2.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,1080
10/2025,masternl,Barbados,0,0,0.00%,0,0,0,0,0.00%,0,0,0.00,-137,-137,0.00,"1,529.7790",2.7800,"27,800.0000",75.3600,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,1086
10/2025,masternl,"Korea, Republic of",0,0,0.00%,0,0,0,0,0.00%,0,0,"2,677.00",-694,"1,983.00",0.00,"7,889.7922",28.1400,"281,400.0000","2,257.1046",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,1547
10/2025,basil-hannah,France,0,0,0.00%,4,5,0,0,0.00%,1,1,300.00,0.00,300.00,300.00,0.0000,1.0000,"10,000.0000",-1.0000,0.60,500.00,500.00,0.00,0.00,0.00,0.00,500.00,0.00,0,0.00,1552
10/2025,Basilatwani,Australia,0,0,0.00%,53,175,7,7,128.57%,9,7,"131,640.00","-18,979","112,661.00","3,956.93","553,614.0292",54140.3400,"541,403,400.0000","175,340.4327",17.20,"6,550.00","6,550.00",0.00,0.00,0.00,0.00,727.78,935.71,0,0.00,1561
10/2025,melofx,United Kingdom,0,0,0.00%,1,7,1,1,100.00%,1,1,"6,429.00",-615,"5,814.00",348.80,"150,848.7771",11208.5300,"112,085,300.0000","6,889.8547",11.63,500.00,500.00,0.00,0.00,0.00,0.00,500.00,500.00,0,0.00,1531
10/2025,masternl,Australia,0,0,0.00%,2,3,0,0,0.00%,1,0,"1,853.00","-4,678","-2,825",340.00,"3,605.8044",31.2400,"312,400.0000","1,770.2264",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,1539
10/2025,fxgodfather,Austria,0,0,0.00%,1,1,1,1,100.00%,1,1,579.00,0.00,579.00,578.57,6.2037,0.0500,500.0000,5.3703,0.89,650.00,650.00,0.00,0.00,0.00,0.00,650.00,650.00,0,0.00,1541
10/2025,Default Affiliate,Sweden,0,0,0.00%,0,0,2,2,50.00%,1,0,165.00,0.00,165.00,57.95,20.7091,2.1300,"21,300.0000",98.1822,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,1416
10/2025,Billionairetrading,Canada,0,0,0.00%,9,24,3,3,33.33%,1,1,580.00,0.00,580.00,580.27,"5,067.1664",5.1600,"51,600.0000",686.0075,1.29,450.00,450.00,0.00,0.00,0.00,0.00,450.00,150.00,0,0.00,1429
10/2025,dovyfx,United Kingdom,0,0,0.00%,0,0,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,"10,486.2419",8524.2000,"85,242,000.0000","-1,329.4300",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,1344
10/2025,masternl,Switzerland,0,0,0.00%,3,7,0,0,0.00%,0,0,"1,046.00","-1,400",-354,0.00,"42,161.6595",34.8400,"348,400.0000","2,105.1685",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,1345
10/2025,WealthWave,Puerto Rico,0,0,0.00%,0,0,0,0,0.00%,0,0,0.00,-250,-250,0.00,42.3900,2.8400,"28,400.0000",-199.3200,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,1571
10/2025,rayanlewiis,El Salvador,0,0,0.00%,0,0,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,166.1400,0.4000,"4,000.0000",106.2200,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,4624
10/2025,Mertyoz,Bangladesh,0,0,0.00%,2,2,1,1,100.00%,1,1,550.00,-521,29.00,550.00,561.1992,0.3500,"3,500.0000",399.4821,0.05,600.00,600.00,0.00,0.00,0.00,0.00,600.00,600.00,0,0.00,4626
10/2025,Fredtrading,Slovakia,0,0,0.00%,4,9,3,3,66.67%,2,2,"1,433.00","-1,100",333.00,983.25,"58,471.2535",2.0900,"20,900.0000",666.4173,0.21,"1,603.20","1,600.00",0.00,3.20,0.00,0.00,801.60,534.40,0,0.00,4633
10/2025,Fredtrading,Pakistan,0,0,0.00%,0,0,0,0,0.00%,0,0,0.00,"-3,104","-3,104",0.00,"6,591.5490",100.7200,"1,007,200.0000","-1,271.7300",-70.90,43.78,0.00,0.00,43.78,0.00,0.00,0.00,0.00,0,0.00,5442
10/2025,Basilatwani,Philippines,0,0,0.00%,0,0,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,"1,040.7475",2.0300,"20,300.0000",77.2800,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,5446
10/2025,Mertyoz,Saudi Arabia,0,0,0.00%,12,27,7,7,14.29%,1,1,541.00,-541,0.00,400.00,"14,747.0798",7.0100,"70,100.0000","1,301.5087",0.00,600.00,600.00,0.00,0.00,0.00,0.00,600.00,85.71,0,0.00,5024
10/2025,Mertyoz,Netherlands,0,0,0.00%,108,163,41,41,29.27%,12,14,"50,528.00","-23,933","26,595.00","10,980.33","171,194.7006",997.5800,"9,975,800.0000","18,409.3738",2.77,"9,600.00","9,600.00",0.00,0.00,0.00,0.00,800.00,234.15,0,0.00,5034
10/2025,Basilatwani,Germany,0,0,0.00%,5,5,2,2,50.00%,1,6,"61,230.00","-2,297","58,933.00","1,160.00","229,911.5672",1781.7400,"17,817,400.0000","50,388.1609",12.41,"4,750.00","4,750.00",0.00,0.00,0.00,0.00,"4,750.00","2,375.00",0,0.00,6696
10/2025,flexxtrades,Germany,0,0,0.00%,0,0,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,15.4700,0.1400,"1,400.0000",31.1700,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,6700
10/2025,dominguero,Guatemala,0,0,0.00%,0,0,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,87.1072,0.7100,"7,100.0000",33.6700,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,6713
10/2025,fxgodfather,Germany,0,0,0.00%,6,9,4,4,100.00%,4,5,"2,865.00","-1,387","1,478.00","1,754.74","88,126.2039",28.7400,"287,400.0000","2,505.9568",0.55,"2,700.00","2,700.00",0.00,0.00,0.00,0.00,675.00,675.00,0,0.00,7058
10/2025,tradingcentalfx,Singapore,0,0,0.00%,2,3,0,0,0.00%,0,0,350.00,-597,-247,0.00,"9,398.9937",10.9600,"109,600.0000",918.5300,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,4716
10/2025,Default Affiliate,Norway,0,0,0.00%,0,0,6,6,16.67%,1,0,750.00,0.00,750.00,100.00,"3,731.0878",9.1300,"91,300.0000",818.3394,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,12179
10/2025,Mertyoz,Ghana,0,0,0.00%,33,57,17,17,11.76%,2,1,"3,886.00",0.00,"3,886.00",563.31,"21,441.0687",42.3900,"423,900.0000","4,074.0342",3.89,"1,000.00","1,000.00",0.00,0.00,0.00,0.00,500.00,58.82,0,0.00,12180
10/2025,Billionairetrading,United Kingdom,0,0,0.00%,13,40,8,8,62.50%,5,5,"1,064.00",0.00,"1,064.00",583.63,"634,496.9549",22.6600,"226,600.0000","1,483.8751",0.82,"1,300.00","1,300.00",0.00,0.00,0.00,0.00,260.00,162.50,0,0.00,12182
10/2025,Fredtrading,Netherlands,0,0,0.00%,50,94,23,23,60.87%,14,14,"23,510.00","-11,208","12,302.00","13,581.01","1,668,272.2045",13353.2300,"133,532,300.0000","19,912.3318",1.01,"12,137.00","11,800.00",0.00,337.00,0.00,0.00,866.93,527.70,0,0.00,3117
10/2025,Default Affiliate,Poland,0,0,0.00%,2,2,4,4,25.00%,1,0,500.00,"-4,636","-4,136",500.00,"6,352.4565",8.0000,"80,000.0000","-4,842.9198",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,5269
10/2025,theforexcomplex,Spain,0,0,0.00%,3,5,1,1,100.00%,1,1,"1,112.00",0.00,"1,112.00","1,112.49","16,770.5110",18.0100,"180,100.0000","1,108.6636",1.39,800.00,800.00,0.00,0.00,0.00,0.00,800.00,800.00,0,0.00,3246
10/2025,Basilatwani,Indonesia,0,0,0.00%,0,0,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,757.9840,0.0400,400.0000,4.8800,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3248
10/2025,Fredtrading,Bulgaria,0,0,0.00%,9,13,5,5,40.00%,2,2,"1,085.00","-1,666",-581,"1,085.25","31,627.6338",125.8500,"1,258,500.0000","1,691.6974",-0.36,"1,626.56","1,600.00",0.00,26.56,0.00,0.00,813.28,325.31,0,0.00,3250
10/2025,basil-hannah,Denmark,0,0,0.00%,3,5,1,1,100.00%,1,1,800.00,0.00,800.00,800.00,158.2416,7.0500,"70,500.0000",807.3800,1.07,750.00,750.00,0.00,0.00,0.00,0.00,750.00,750.00,0,0.00,3252
10/2025,aff.bullwaves,Burundi,0,0,0.00%,0,0,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,23.2300,0.0700,700.0000,20.3500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,5388
10/2025,Mertyoz,Egypt,0,0,0.00%,8,23,6,6,16.67%,1,2,671.00,-401,270.00,671.04,34.4369,0.8800,"8,800.0000",-10.0665,0.23,"1,200.00","1,200.00",0.00,0.00,0.00,0.00,"1,200.00",200.00,0,0.00,2552
10/2025,Default Affiliate,United Arab Emirates,0,0,0.00%,0,0,15,15,20.00%,3,0,"1,000.00","-1,600",-600,"1,000.00",705.1062,14.6800,"146,800.0000",-172.5000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,2560
10/2025,basil-hannah,Netherlands,0,0,0.00%,15,18,12,12,33.33%,4,3,"13,584.00","-8,861","4,723.00","1,336.12","33,805.0293",4622.8900,"46,228,900.0000","12,406.1078",1.60,"2,950.00","2,950.00",0.00,0.00,0.00,0.00,737.50,245.83,0,0.00,2782
10/2025,Fredtrading,Slovenia,0,0,0.00%,5,7,4,4,25.00%,1,1,588.00,-382,206.00,587.50,"64,769.6344",23.4000,"234,000.0000","1,457.0434",0.26,801.28,800.00,0.00,1.28,0.00,0.00,801.28,200.32,0,0.00,2787
10/2025,tradingcentalfx,Indonesia,0,0,0.00%,0,0,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,472.9700,4.3400,"43,400.0000",-147.2100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,7135
10/2025,Billionairetrading,Nigeria,0,0,0.00%,644,650,4,4,25.00%,1,1,100.00,-60,40.00,100.00,61.1670,0.2500,"2,500.0000",37.0700,0.27,150.00,150.00,0.00,0.00,0.00,0.00,150.00,37.50,0,0.00,7137
10/2025,tradingcentalfx,Australia,0,0,0.00%,10,26,8,8,62.50%,5,4,"2,630.00",-923,"1,707.00","1,980.56","9,955.4552",52.3600,"523,600.0000","1,187.3066",0.78,"2,200.00","2,200.00",0.00,0.00,0.00,0.00,440.00,275.00,0,0.00,8928
10/2025,vanmanhlh@gmail.com,Italy,0,0,0.00%,44,51,2,2,50.00%,1,0,642.00,0.00,642.00,233.64,"3,705.6883",8.1000,"81,000.0000",639.4543,9.91,64.80,0.00,0.00,64.80,0.00,0.00,64.80,32.40,0,0.00,8933
10/2025,Anthhony,Italy,0,0,0.00%,0,0,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,0.7665,0.0200,200.0000,0.4520,0.00,0.16,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0,0.00,16007
10/2025,Mertyoz,Guyana,0,0,0.00%,5,14,4,4,25.00%,1,1,403.00,-396,7.00,402.85,0.0005,0.2000,"2,000.0000",4.1774,0.01,600.00,600.00,0.00,0.00,0.00,0.00,600.00,150.00,0,0.00,16023
10/2025,Billionairetrading,Peru,0,0,0.00%,2,30,3,3,33.33%,1,0,167.00,0.00,167.00,18.30,69.8250,0.5100,"5,100.0000",14.4300,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,172
10/2025,ajmudronja,Ireland,0,0,0.00%,0,0,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,1.7500,0.4500,"4,500.0000",-6.9396,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,6631
10/2025,basil-hannah,Singapore,0,0,0.00%,6,14,1,1,0.00%,0,2,"4,000.00",0.00,"4,000.00",0.00,"1,030.8956",74.9500,"749,500.0000","6,373.7500",4.00,"1,000.00","1,000.00",0.00,0.00,0.00,0.00,0.00,"1,000.00",0,0.00,7737
10/2025,fxgodfather,United Kingdom,0,0,0.00%,20,46,16,16,68.75%,11,11,"6,401.00","-2,042","4,359.00","6,068.40","114,027.6279",3317.9700,"33,179,700.0000","3,548.3731",0.65,"6,700.00","6,700.00",0.00,0.00,0.00,0.00,609.09,418.75,0,0.00,12277
10/2025,masternl,Slovenia,0,0,0.00%,0,0,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,454.8525,1.7700,"17,700.0000",-69.0163,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,12283
10/2025,Mertyoz,Iceland,0,0,0.00%,2,3,1,1,100.00%,1,0,702.00,-133,569.00,265.87,378.6304,4.9300,"49,300.0000",502.4251,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,12284
10/2025,Default Affiliate,Thailand,0,0,0.00%,0,0,1,1,100.00%,1,0,100.00,0.00,100.00,100.00,"1,075.3100",4.9700,"49,700.0000",-23.3100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,4748
10/2025,Fredtrading,Portugal,0,0,0.00%,13,21,9,9,66.67%,6,5,"8,311.00","-1,612","6,699.00","4,640.01","1,437,666.4961",34876.9700,"348,769,700.0000","12,419.4753",1.65,"4,067.02","4,000.00",0.00,67.02,0.00,0.00,677.84,451.89,0,0.00,4750
10/2025,fabi69,Italy,0,0,0.00%,4,48,0,0,0.00%,1,1,"17,654.00","-4,146","13,508.00",578.60,"34,186.2524",368.9300,"3,689,300.0000","14,394.9800",45.03,300.00,300.00,0.00,0.00,0.00,0.00,300.00,0.00,0,0.00,4753
10/2025,theforexcomplex,Canada,0,0,0.00%,3,4,1,1,100.00%,1,1,"15,900.00","-11,823","4,077.00",400.00,"52,814.5523",1618.4000,"16,184,000.0000","57,365.8400",9.06,450.00,450.00,0.00,0.00,0.00,0.00,450.00,450.00,0,0.00,3822
10/2025,mvmarketing,Switzerland,0,0,0.00%,0,0,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,"2,029.4622",7.3800,"73,800.0000",131.9050,0.00,98.37,0.00,0.00,98.37,0.00,0.00,0.00,0.00,0,0.00,3826
10/2025,Billionairetrading,Grenada,0,0,0.00%,0,0,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,"2,422.4823",12.5700,"125,700.0000",196.8000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3842
10/2025,jonathanvareymitchell,Netherlands,0,0,0.00%,"3,335","3,335",2,2,0.00%,0,0,"4,825.00",-233,"4,592.00",0.00,"19,723.6334",98.3400,"983,400.0000","4,599.6781",11.48,400.00,400.00,0.00,0.00,0.00,0.00,0.00,200.00,0,0.00,3974
10/2025,pavlosaff,United States,0,0,0.00%,4,4,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,"1,027.7343",1.2000,"12,000.0000",494.2228,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3975
